exchangeAddress,exchangeName,Chain
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Kraken 4,Ethereum
0xfa52274dd61e1643d2205169732f29114bc240b3,Kraken 5,Ethereum
0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Kraken 7,Ethereum
0xc6bed363b30df7f35b601a5547fe56cd31ec63da,Kraken 8,Ethereum
0x29728d0efd284d85187362faa2d4d76c2cfc2612,Kraken 9,Ethereum
0xe8a0e282e6a3e8023465accd47fae39dd5db010b,Kryptono 1,Ethereum
0x629a7144235259336ea2694167f3c8b856edd7dc,Kryptono 2,Ethereum
0x30b71d015f60e2f959743038ce0aaec9b4c1ea44,Kryptono 3,Ethereum
0x2b5634c42055806a59e9107ed44d43c426e58258,KuCoin,Ethereum
0x689c56aef474df92d44a1b70850f808488f9769c,KuCoin 2,Ethereum
0xa1d8d972560c2f8144af871db508f0b0b10a3fbf,KuCoin 3,Ethereum
0x4ad64983349c49defe8d7a4686202d24b25d0ce8,KuCoin 4,Ethereum
0x1692e170361cefd1eb7240ec13d048fd9af6d667,KuCoin 5,Ethereum
0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,Ethereum
0xe59cd29be3be4461d79c0881d238cbe87d64595a,Kucoin 7,Ethereum
0x899b5d52671830f567bf43a14684eb14e1f945fe,KuCoin 8,Ethereum
0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,KuCoin 9,Ethereum
0xea81ce54a0afa10a027f65503bd52fba83d745b8,Kuna.io,Ethereum
0x77ab999d1e9f152156b4411e1f3e2a42dab8cd6d,Kuna.io 2,Ethereum
0x0861fca546225fbf8806986d211c8398f7457734,LAToken,Ethereum
0x7891b20c690605f4e370d6944c8a5dbfac5a451c,LAToken 2,Ethereum
0x1b6c1a0e20af81b922cb454c3e52408496ee7201,LAToken 3,Ethereum
0x8271b2e8cbe29396e9563229030c89679b9470db,Liqui.io 1,Ethereum
0x5e575279bf9f4acf0a130c186861454247394c06,Liqui.io 2,Ethereum
0xedbb72e6b3cf66a792bff7faac5ea769fe810517,Liquid 1,Ethereum
0xdf4b6fb700c428476bd3c02e6fa83e110741145b,Liquid 2,Ethereum
0xdb2cad4f306b47c9b35541988c7656f1bb092e15,Liquid 3,Ethereum
0x9cc2dce817093ceea82bb67a4cf43131fa354c06,Liquid 4,Ethereum
0x243bec9256c9a3469da22103891465b47583d9f1,Livecoin.net,Ethereum
0xaf1931c20ee0c11bea17a41bfbbad299b2763bc0,Luno 1,Ethereum
0x416299aade6443e6f6e8ab67126e65a7f606eef5,Luno 2,Ethereum
0x477b8d5ef7c2c42db84deb555419cd817c336b6f,MaiCoin 1,Ethereum
0xe03c23519e18d64f144d2800e30e81b0065c48b5,Mercatox,Ethereum
0x3cc936b795a188f0e246cbb2d74c5bd190aecf18,Mexc.com 3,Ethereum
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,MEXC: Mexc.com,Ethereum
0x0211f3cedbef3143223d3acf0e589747933e8527,MEXC: Mexc.com 2,Ethereum
0xac338d9faac562df26d702880c796e1024e2698a,MinedTrade.com,Ethereum
